n,d,d/n,Matched Fraction
1024,3,0.0029296875,0.87890625
1024,4,0.00390625,0.900390625
1024,4,0.00390625,0.90234375
1024,4,0.00390625,0.900390625
1024,4,0.00390625,0.921875
1024,4,0.00390625,0.90625
1024,4,0.00390625,0.908203125
1024,4,0.00390625,0.89453125
1024,4,0.00390625,0.8984375
1024,4,0.00390625,0.916015625
1024,4,0.00390625,0.904296875
1024,5,0.0048828125,0.921875
1024,5,0.0048828125,0.91015625
1024,5,0.0048828125,0.916015625
1024,5,0.0048828125,0.9140625
1024,5,0.0048828125,0.9296875
1024,5,0.0048828125,0.916015625
1024,5,0.0048828125,0.931640625
1024,5,0.0048828125,0.91015625
1024,5,0.0048828125,0.916015625
1024,5,0.0048828125,0.923828125
1024,6,0.005859375,0.923828125
1024,6,0.005859375,0.921875
1024,6,0.005859375,0.9453125
1024,6,0.005859375,0.927734375
1024,6,0.005859375,0.919921875
1024,6,0.005859375,0.923828125
1024,6,0.005859375,0.923828125
1024,6,0.005859375,0.927734375
1024,6,0.005859375,0.935546875
1024,6,0.005859375,0.927734375
1024,32,0.03125,0.9765625
1024,32,0.03125,0.97265625
1024,32,0.03125,0.9765625
1024,32,0.03125,0.984375
1024,32,0.03125,0.98046875
1024,32,0.03125,0.978515625
1024,32,0.03125,0.978515625
1024,32,0.03125,0.984375
1024,32,0.03125,0.98046875
1024,32,0.03125,0.98046875
1024,102,0.099609375,0.9921875
1024,102,0.099609375,0.9921875
1024,102,0.099609375,0.99609375
1024,102,0.099609375,0.9921875
1024,102,0.099609375,0.994140625
1024,102,0.099609375,0.9921875
1024,102,0.099609375,0.9921875
1024,102,0.099609375,0.990234375
1024,102,0.099609375,0.990234375
1024,102,0.099609375,0.99609375
2048,2,0.0009765625,0.87890625
2048,2,0.0009765625,0.8671875
2048,2,0.0009765625,0.86328125
2048,2,0.0009765625,0.8779296875
2048,2,0.0009765625,0.875
2048,2,0.0009765625,0.873046875
2048,2,0.0009765625,0.861328125
2048,2,0.0009765625,0.873046875
2048,2,0.0009765625,0.8779296875
2048,2,0.0009765625,0.8818359375
2048,3,0.00146484375,0.8955078125
2048,3,0.00146484375,0.884765625
2048,3,0.00146484375,0.884765625
2048,3,0.00146484375,0.8828125
2048,3,0.00146484375,0.8935546875
2048,3,0.00146484375,0.8974609375
2048,3,0.00146484375,0.892578125
2048,3,0.00146484375,0.91015625
2048,3,0.00146484375,0.892578125
2048,3,0.00146484375,0.8896484375
2048,4,0.001953125,0.9013671875
2048,4,0.001953125,0.90234375
2048,4,0.001953125,0.9150390625
2048,4,0.001953125,0.9033203125
2048,4,0.001953125,0.904296875
2048,4,0.001953125,0.8994140625
2048,4,0.001953125,0.9072265625
2048,4,0.001953125,0.8974609375
2048,4,0.001953125,0.9013671875
2048,4,0.001953125,0.9033203125
2048,5,0.00244140625,0.9267578125
2048,5,0.00244140625,0.9140625
2048,5,0.00244140625,0.9208984375
2048,5,0.00244140625,0.916015625
2048,5,0.00244140625,0.9169921875
2048,5,0.00244140625,0.92578125
2048,5,0.00244140625,0.9140625
2048,5,0.00244140625,0.921875
2048,5,0.00244140625,0.9189453125
2048,5,0.00244140625,0.9208984375
2048,7,0.00341796875,0.9287109375
2048,7,0.00341796875,0.9326171875
2048,7,0.00341796875,0.9345703125
2048,7,0.00341796875,0.9296875
2048,7,0.00341796875,0.92578125
2048,7,0.00341796875,0.9326171875
